0.07	1
0.06	2
0.1	3
0.08	4
0.09	5
0.11	6
0	7
0.11	8
0.08	9
0	10
0.07	11
0.08	12
0.1	13
0.1	14
0.05	15
0	16
0.04	17
0.1	18
0.04	19
0.1	20
0	21
0.04	22
0	23
0.04	24
0.04	25
0.23	26
0.08	27
0	28
0.04	29
0.08	30
0.04	31
0.08	32
0.04	33
0	34
0	35
0.12	36
0	37
0.04	38
0.08	39
0.03	40
0	41
0.04	42
0.08	43
0.04	44
0.04	45
0	46
0	47
0.04	48
0	49
0.1	50
0	51
0	52
0.04	53
0	54
0.08	55
0	56
0	57
0.06	58
0.04	59
0	60
0	61
0.04	62
0.07	63
0	64
0	65
0.08	66
0.04	67
0	68
0.04	69
0.04	70
0.03	71
0.08	72
0.04	73
0.07	74
0.06	75
0.1	76
0	77
0	78
0.08	79
0	80
0.07	81
0.04	82
0.04	83
0.06	84
0	85
0.08	86
0.04	87
0.04	88
0	89
0	90
0.04	91
0	92
0	93
0	94
0.04	95
0.08	96
0.12	97
0.03	98
0.06	99
0.04	100
